city_id,city,state_id
3541,FRISCO ,107
3542,Pensacola,118
3543,White Plains,113
3544,Nashville ,105
3545,Cos Cob,109
3546,Greensboro,120
3547,Branchburg,117
3548,Cranbury,117
3549,Apex ,120
3550,GRAND RAPIDS,102
3551,Orange,117
3552, New York,113
3553,East Hartford,109
3554,Edison ,117
3555,Sunnyvale ,106
3556,Kent,114
3557,Sandy Springs,101
3558,Boca Raton,118
3559,Longwood,118
3560,New Brunswick,117
3561,SUNRISE,118
3562,Tampa ,118
3563,McLean ,108
3564,Blacksburg,108
3565,"Chicago, ",115
3566,Vernon,109
3567,Reno,140
3568,Fort Worth ,107
3569,SCHAUMBURG,115
3570,"Carmel, ",135
3571,"Englewood, ",132
3572,Hamilton,117
3573,Oakland,106
3574,DePere,139
3575,BOCA RATON,118
3576,Carmel,135
3577,RIVERTON,122
3578,Okemos,102
3579, Mooresville,120
3580,RICHMOND,108
3581,San Carlos,106
3582,Centerbrook,109
3583,Conroe,107
3584,North Little Rock,142
3585,"Sun Prairie,",139
3586,Clark,117
3587,Melville,113
3588,New York ,113
3589, Englewood,132
3590,Milford,131
3591,MANCHESTER,109
3592,Enfield,109
3593,HAYWARD,106
3594,Merrimack,125
3595,Maumee,131
3596, Vernon Hills,115
3597,Salt Lake City,122
3598,Murphy,107
3599,Rutherford,117
3600,Altamonte Springs,118
3601,Norwood,103
3602,REDMOND,114
3603,Woodbridge Township,117
3604,CHANDLER,121
3605,Westford,103
3606,HOUSTON,107
3607,Lone Tree,132
3608,Ocala,118
3609,Lansing,102
3610,Bedford,103
3611,MCKINNEY,107
3612,Brandon,118
3613,BEDFORD,103
3614,Mossville,115
3615,Gallup,143
3616, Bentonville,142
3617,Brighton,103
3618,TRUCKEE ,106
3619,North Reading,103
3620,Sterling ,115
3621,Prosper,107
3622,Carrollton,107
3623,Kalamazoo,102
3624,Fort Lauderdale,118
3625,New Hope,104
3626,Wilmington,131
3627,WOBURN,103
3628,North Haven,109
3629,Newtown,119
3630,Glen Allen,108
3631,Seatlle,114
3632,CAMBRIDGE,103
3633,St. Louis ,111
3634,Clarksburg,110
3635,HOFFMAN ESTATES,115
3636,HILLSBOROUGH,117
3637,Santa Ana,106
3638,Newport Beach,106
3639,Christiansburg,108
3640,Riverwoods ,115
3641,New Hill,120
3642,Lincoln,127
3643,San Francisco ,106
3644,Plymouth,104
3645,Naperville,115
3646,NEW HAVEN,109
3647,EDISON,117
3648,Georgetown,116
3649,Rolling Meadows ,115
3650,Northville Twp,102
3651,Buffalo Grove,115
3652,Rosemont,115
3653,Westlake,107
3654,Chesterfield,111
3655,Middletown,117
3656,Dublin,106
3657,Boxborough,103
3658,Naples,118
3659,Plantation,118
3660,West Columbia,134
3661,Harrison,117
3662,Jackson,144
3663,SAN FRANCISCO ,106
3664,Maricopa,121
3665,Hoboken ,117
3666,Hoffman Estates,115
3667,San Diego ,106
3668,Kentfield,106
3669, Los Angeles,106
3670,MEDLEY ,118
3671,Phoenix ,121
3672,Dania Beach,118
